trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.03341432831534371, 'e': 0.2441432831534371}",35,13,18.58438973110048,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.033171401689703645, 'e': 0.24171401689703645}",20,15,9.385302251852652,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.03293089222437546, 'e': 0.23930892224375455}",20,3,-10.192308339027498,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.032692775868212176, 'e': 0.23692775868212176}",20,9,-3.5850319678486144,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.032457028809379763, 'e': 0.23457028809379765}",25,0,25.010612668917044,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.032223627472975885, 'e': 0.23223627472975883}",25,0,34.89235836229138,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.031992548518672385, 'e': 0.22992548518672384}",20,12,2.189586454123889,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.03176376883838127, 'e': 0.22763768838381274}",25,0,10.130236188630315,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.03153726555394387, 'e': 0.22537265553943872}",25,9,27.561859185049865,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.03131301601484298, 'e': 0.22313016014842982}",25,11,-17.974488056992822,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.031090997795937818, 'e': 0.2209099779593782}",35,12,-61.08996591542415,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
152,False,"{'a': 0.03087118869522148, 'e': 0.21871188695221475}",30,22,13.392951830279848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.03065356673160071, 'e': 0.21653566731600707}",20,12,14.212831946530226,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.030438110142697795, 'e': 0.21438110142697794}",20,3,16.048905876773457,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.030224797382674307, 'e': 0.21224797382674304}",20,2,27.59528707408826,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.030013607120076474, 'e': 0.21013607120076472}",30,14,7.451024062926955,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.02980451823570205, 'e': 0.20804518235702046}",25,11,2.1257815409302934,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
